timestamp,Infrared to Red Signal Ratio
10/22/21 00:00:33,70
10/22/21 00:01:33,0
10/22/21 00:02:34,-23
10/22/21 00:03:34,53
10/22/21 00:04:34,0
10/22/21 00:05:34,-14
10/22/21 00:06:34,9
10/22/21 00:07:59,-19
10/22/21 00:09:00,-45
10/22/21 00:10:00,-18
10/22/21 00:11:00,-4
10/22/21 00:12:00,11
10/22/21 00:13:00,-13
10/22/21 00:14:00,7
10/22/21 00:15:00,20
10/22/21 00:16:01,-59
10/22/21 00:17:01,0
10/22/21 00:18:01,17
10/22/21 00:19:01,47
10/22/21 00:20:01,-47
10/22/21 00:21:01,-3
10/22/21 00:22:01,-16
10/22/21 00:23:02,47
10/22/21 00:24:02,30
10/22/21 00:25:02,0
10/22/21 00:26:02,-17
10/22/21 00:27:02,3
10/22/21 00:28:02,16
10/22/21 00:29:03,-2
10/22/21 00:30:03,0
10/22/21 00:31:04,0
10/22/21 00:32:04,-54
10/22/21 00:33:04,36
10/22/21 00:34:04,-5
10/22/21 00:35:04,0
10/22/21 00:36:04,-11
10/22/21 00:37:04,-2
10/22/21 00:38:05,-8
10/22/21 00:39:05,0
10/22/21 00:40:05,0
10/22/21 00:41:05,1
10/22/21 00:42:05,0
10/22/21 00:43:05,-30
10/22/21 00:44:07,-8
10/22/21 00:45:07,-8
10/22/21 00:46:07,-13
10/22/21 00:47:07,-4
10/22/21 00:48:07,-7
10/22/21 00:49:07,0
10/22/21 00:50:08,-49
10/22/21 00:51:08,-4
10/22/21 00:52:08,-26
10/22/21 00:53:08,3
10/22/21 00:54:08,-17
10/22/21 00:55:08,0
10/22/21 00:56:09,-17
10/22/21 00:57:09,-13
10/22/21 00:58:09,-21
10/22/21 00:59:09,0
10/22/21 01:00:09,-17
10/22/21 01:01:09,-21
10/22/21 01:02:09,-5
10/22/21 01:03:09,43
10/22/21 01:04:10,14
10/22/21 01:05:10,-2
10/22/21 01:06:10,4
10/22/21 01:07:10,-8
10/22/21 01:08:10,-55
10/22/21 01:09:10,-20
10/22/21 01:10:10,-2
10/22/21 01:11:11,-3
10/22/21 01:12:11,-10
10/22/21 01:13:11,8
10/22/21 01:14:11,-12
10/22/21 01:15:11,-72
10/22/21 01:16:11,18
10/22/21 01:17:11,0
10/22/21 01:18:11,-48
10/22/21 01:19:11,-1
10/22/21 01:20:11,11
10/22/21 01:21:12,0
10/22/21 01:22:12,-17
10/22/21 01:23:12,-34
10/22/21 01:24:12,-48
10/22/21 01:25:12,18
10/22/21 01:26:12,11
10/22/21 01:27:13,-49
10/22/21 01:28:13,-70
10/22/21 01:29:13,1
10/22/21 01:30:13,-63
10/22/21 01:31:13,9
10/22/21 01:32:13,7
10/22/21 01:33:13,-11
10/22/21 01:34:14,-1
10/22/21 01:35:14,0
10/22/21 01:36:14,14
10/22/21 01:37:14,43
10/22/21 01:38:14,5
10/22/21 01:39:14,0
10/22/21 01:40:14,26
10/22/21 01:41:15,-5
10/22/21 01:42:15,13
10/22/21 01:43:15,8
10/22/21 01:44:15,-13
10/22/21 01:45:16,0
