type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2021-10-31T23:35:30,2021-11-01T06:16,400,32.53475,31.92974651471559,718.0957467814442,0.5867400211395554,1.4394072321463265
IDT,2021-11-01T22:33,2021-11-02T06:36,483,32.42008281573499,-16.82908108348056,825.6215692963451,0.5808568605463835,1.444168406971434
IDT,2021-11-02T22:52,2021-11-03T06:26:30,455,32.47912087912088,0.2612085769978876,944.5317983075511,0.5463662652610941,1.4571675423262744
IDT,2021-11-03T23:03,2021-11-04T06:22,439,33.050569476082,251.11795728637844,678.482524992316,0.5568284019693175,1.4498648004788508
IDT,2021-11-05T00:20,2021-11-05T06:47:30,388,32.725773195876286,95.70109890109961,343.74716580112,0.5479124435632071,1.4356750879089626
IDT,2021-11-05T23:18:30,2021-11-06T07:02,462,32.722943722943725,99.7958269230785,941.4735217991984,0.5393508097441225,1.4347833844017779
IDT,2021-11-07T00:16,2021-11-07T07:07,411,32.31727493917275,-66.28273247220568,769.7168871629983,0.5370632025075346,1.4331533529126461
IDT,2021-11-07T21:52,2021-11-08T06:13:30,497,32.90120724346076,209.77692307692269,652.8832544379402,0.5329325714353139,1.4216061352765805
IDT,2021-11-08T21:41:30,2021-11-09T06:09:30,508,32.41633858267716,-31.601771522822673,371.52027945546433,0.5238994385128257,1.4054444021028216
IDT,2021-11-09T22:27:30,2021-11-10T06:03:30,456,32.92675438596491,204.38266178266167,655.9794570995728,0.5294207849282108,1.3807261241421371
IDT,2021-11-10T23:53,2021-11-11T07:10,437,32.86086956521739,154.66921291208928,302.62358220340684,0.5271870408433504,1.352168411139522
IDT,2021-11-11T23:04,2021-11-12T05:41:30,398,32.69597989949749,55.561098547719666,200.02993887406774,0.5267815493705286,1.3331916855808947
IDT,2021-11-12T23:52:30,2021-11-13T08:03:30,483,32.1639751552795,-189.53112914937628,958.7059397859266,0.4776670841906982,1.3093490071100533
IDT,2021-11-13T23:06,2021-11-14T07:25:30,500,31.6978,-429.28957468879526,1224.3466578731313,0.4952750731344317,1.315253227183081
IDT,2021-11-14T22:44:30,2021-11-15T06:00:30,436,33.00642201834862,196.2186908713702,365.9488409340847,0.4970045809140396,1.2859503776697487
IDT,2021-11-15T22:12,2021-11-16T06:19:30,488,32.891393442622956,149.7899334370668,759.761360981618,0.5001936992473516,1.2854244190047996
IDT,2021-11-16T22:24,2021-11-17T07:00:30,514,32.48424124513618,-51.50568486341581,396.8635127886664,0.492645261734789,1.2747597560264146
IDT,2021-11-17T23:18,2021-11-18T06:29:30,432,32.50115740740741,-23.855792531119732,423.40677971590776,0.49192633633461036,1.2729160926673515
IDT,2021-11-19T00:15,2021-11-19T07:27:30,433,33.24849884526559,287.5345106111672,301.45938751124777,0.5007722860154513,1.244567480995708
IDT,2021-11-19T22:37,2021-11-20T06:52:30,496,31.995564516129033,-278.1640580912863,1040.1087161567993,0.5121944634445077,1.2665431169036434
IDT,2021-11-20T23:33,2021-11-21T07:20,465,31.588387096774195,-450.11630446058007,1511.4062957876595,0.5288140264346799,1.2740568937937662
IDT,2021-11-21T21:54:30,2021-11-22T06:28:30,514,32.66108949416343,39.39431513658201,425.94107405655086,0.4931170056634195,1.2434593666588376
IDT,2021-11-22T21:59,2021-11-23T06:24,505,32.48178217821782,-37.67147043568548,423.5425736333709,0.46688083663205976,1.21794629326556
IDT,2021-11-23T21:49,2021-11-24T06:34:30,514,31.096498054474708,-750.37888278008,2011.3976414831122,0.5400218421933858,1.2568793006883157
IDT,2021-11-24T22:25,2021-11-25T07:22,537,32.68752327746741,55.35203740923316,1205.0718958014622,0.5283237527389814,1.2516007778269673
IDT,2021-11-25T21:40:30,2021-11-26T07:56:30,616,32.78814935064935,99.89172746433178,540.4021221036091,0.5271356299377805,1.2373798461489778
IDT,2021-11-26T23:15,2021-11-27T08:31:30,548,32.35200729927007,-150.14112556744294,1340.0234809976537,0.5288252827694223,1.26022821814421
IDT,2021-11-28T22:17:30,2021-11-29T06:14:30,454,32.57488986784141,1.8189894035458565E-12,247.25374449335504,0.47041630482557345,1.235625679554208
IDT,2021-11-29T22:39:30,2021-11-30T06:14:30,455,33.005714285714284,196.025110132161,350.71754681831226,0.46876635773751973,1.2347515112459697
IDT,2021-11-30T22:21,2021-12-01T06:19,478,33.2305439330544,272.19922178988236,525.4191136882873,0.4866537547681926,1.2258106961624857
