timestamp,average_value,lower_bound,upper_bound
2021-06-21T00:00:00Z,96.7,94.9,98.7
2021-06-22T00:00:00Z,96.4,95.2,97.6
2021-06-23T00:00:00Z,95.3,90.7,97.2
2021-06-24T00:00:00Z,97.1,95.6,98.5
2021-06-25T00:00:00Z,96.8,94.9,98.3
2021-06-26T00:00:00Z,96.0,94.6,98.4
2021-06-27T00:00:00Z,95.8,91.5,98.5
2021-06-28T00:00:00Z,96.4,94.4,97.6
2021-06-29T00:00:00Z,96.1,94.4,97.5
2021-06-30T00:00:00Z,97.2,96.0,98.5
2021-07-01T00:00:00Z,97.5,95.3,99.7
2021-07-02T00:00:00Z,95.9,95.3,97.3
2021-07-03T00:00:00Z,96.9,96.1,97.8
2021-07-05T00:00:00Z,96.8,95.2,98.7
2021-07-06T00:00:00Z,96.6,94.9,97.9
2021-07-07T00:00:00Z,96.9,95.8,97.6
2021-07-08T00:00:00Z,98.9,98.3,99.7
2021-07-09T00:00:00Z,96.4,94.9,98.0
2021-07-10T00:00:00Z,97.0,95.9,98.5
2021-07-11T00:00:00Z,95.2,92.3,98.1
2021-07-12T00:00:00Z,95.9,94.4,98.1
2021-07-13T00:00:00Z,97.0,96.3,98.1
2021-07-14T00:00:00Z,96.9,95.5,98.0
2021-07-15T00:00:00Z,96.9,95.1,98.8
2021-07-20T00:00:00Z,95.9,94.8,97.7
2021-07-21T00:00:00Z,96.4,95.4,97.7
2021-07-22T00:00:00Z,95.4,93.0,97.5
2021-07-23T00:00:00Z,96.5,94.4,97.8
2021-07-24T00:00:00Z,96.0,93.9,97.5
2021-07-25T00:00:00Z,96.5,95.1,98.1
2021-07-26T00:00:00Z,97.2,96.0,98.7
2021-07-27T00:00:00Z,95.6,94.5,96.5
2021-07-28T00:00:00Z,98.0,96.3,100.0
2021-07-29T00:00:00Z,96.2,95.0,97.6
2021-07-30T00:00:00Z,96.9,96.4,98.2
2021-07-31T00:00:00Z,97.2,95.5,99.6
2021-08-01T00:00:00Z,97.1,93.9,100.0
2021-08-02T00:00:00Z,96.0,94.9,97.4
2021-08-03T00:00:00Z,97.5,95.5,99.0
2021-08-04T00:00:00Z,96.0,94.3,98.0
2021-08-05T00:00:00Z,97.0,95.4,97.9
2021-08-06T00:00:00Z,96.7,95.1,99.0
2021-08-07T00:00:00Z,91.6,89.9,94.2
2021-08-08T00:00:00Z,94.1,92.5,96.1
2021-08-09T00:00:00Z,93.4,91.6,95.0
2021-08-10T00:00:00Z,96.6,95.4,99.0
2021-08-11T00:00:00Z,95.9,95.3,96.9
2021-08-12T00:00:00Z,97.4,95.6,100.0
2021-08-13T00:00:00Z,96.4,91.2,99.0
2021-08-14T00:00:00Z,95.9,95.1,97.1
2021-08-15T00:00:00Z,97.8,96.7,99.8
2021-08-16T00:00:00Z,97.4,96.3,98.5
2021-08-17T00:00:00Z,97.4,94.3,98.9
2021-08-18T00:00:00Z,96.9,96.2,98.1
2021-08-19T00:00:00Z,96.8,94.1,98.2
2021-08-20T00:00:00Z,96.7,95.2,98.4
2021-08-27T00:00:00Z,96.9,95.8,98.1
2021-08-28T00:00:00Z,95.6,95.0,96.2
2021-08-29T00:00:00Z,97.0,95.4,98.5
2021-08-30T00:00:00Z,97.1,95.7,99.7
2021-08-31T00:00:00Z,96.1,95.1,97.1
2021-09-01T00:00:00Z,96.7,94.8,99.2
2021-09-02T00:00:00Z,95.3,94.8,95.8
2021-09-04T00:00:00Z,97.8,96.5,99.0
2021-09-08T00:00:00Z,92.6,90.8,93.9
2021-09-09T00:00:00Z,95.4,94.6,97.1
2021-09-10T00:00:00Z,96.6,95.1,97.9
2021-09-11T00:00:00Z,96.0,95.2,96.7
2021-09-12T00:00:00Z,95.2,93.9,96.4
2021-09-13T00:00:00Z,95.8,95.0,96.6
2021-09-14T00:00:00Z,94.9,93.3,96.9
2021-09-15T00:00:00Z,95.7,94.8,96.8
2021-09-16T00:00:00Z,95.2,93.9,97.6
2021-09-17T00:00:00Z,95.6,94.4,96.9
2021-09-18T00:00:00Z,96.5,94.5,98.0
2021-09-20T00:00:00Z,96.2,95.0,97.4
2021-09-26T00:00:00Z,96.4,95.0,98.4
2021-09-27T00:00:00Z,95.7,94.9,96.9
2021-09-28T00:00:00Z,96.2,94.9,98.0
2021-09-29T00:00:00Z,95.4,94.6,97.2
