timestamp,bucket_values
2021-06-01T06:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.004, 0.005, 0.009, 0.021, 0.054, 0.097, 0.144, 0.163, 0.144, 0.125, 0.096, 0.063, 0.039, 0.017, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2021-06-02T05:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.002, 0.004, 0.006, 0.019, 0.047, 0.082, 0.123, 0.161, 0.144, 0.137, 0.112, 0.078, 0.045, 0.02, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2021-06-03T06:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.007, 0.007, 0.015, 0.04, 0.052, 0.08, 0.119, 0.154, 0.155, 0.142, 0.11, 0.065, 0.029, 0.011, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-04T06:41:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.006, 0.007, 0.008, 0.024, 0.053, 0.087, 0.129, 0.169, 0.165, 0.136, 0.101, 0.058, 0.029, 0.013, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-05T06:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.005, 0.006, 0.012, 0.022, 0.038, 0.057, 0.097, 0.142, 0.165, 0.161, 0.127, 0.084, 0.044, 0.02, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-06T08:06:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.007, 0.011, 0.021, 0.06, 0.134, 0.179, 0.157, 0.117, 0.094, 0.075, 0.059, 0.035, 0.022, 0.012, 0.006, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-11T06:46:30,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.003, 0.004, 0.005, 0.006, 0.01, 0.018, 0.04, 0.072, 0.113, 0.141, 0.157, 0.146, 0.121, 0.086, 0.042, 0.021, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0]"
2021-06-13T06:27:00,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.005, 0.012, 0.031, 0.096, 0.19, 0.262, 0.2, 0.098, 0.045, 0.024, 0.015, 0.008, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-15T06:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.006, 0.006, 0.016, 0.03, 0.04, 0.066, 0.139, 0.21, 0.181, 0.126, 0.083, 0.05, 0.024, 0.009, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-16T06:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.004, 0.005, 0.007, 0.017, 0.043, 0.08, 0.139, 0.186, 0.167, 0.14, 0.104, 0.057, 0.027, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
