sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
35497797079,2022-01-28T06:10:30Z,85,18,21,46,79,62,0.07924921793534932
35479288194,2022-01-27T06:33:30Z,82,19,19,44,44,62,0.10800744878957169
35464273333,2022-01-26T06:20:30Z,84,19,20,45,51,61,0.11416921508664628
35451250023,2022-01-25T06:24:30Z,84,19,20,45,85,61,0.09015544041450778
35435987736,2022-01-24T06:03:30Z,87,20,21,46,35,59,0.10191725529767912
35277565325,2022-01-12T05:49:30Z,61,14,8,39,36,59,0.20787083753784055
35270594983,2022-01-11T18:44:30Z,41,12,7,22,12,57,0.22863741339491916
35265207299,2022-01-11T06:28:00Z,60,16,10,34,57,57,0.18544366899302095
35248454426,2022-01-10T06:20:30Z,77,16,22,39,64,59,0.09090909090909091
35237633172,2022-01-09T07:36:00Z,76,18,15,43,51,57,0.1342031686859273
35224385844,2022-01-08T07:59:00Z,88,20,22,46,57,58,0.08952551477170993
35211447715,2022-01-07T06:34:30Z,80,19,21,40,53,59,0.08378672470076169
35199340228,2022-01-06T06:13:00Z,79,20,19,40,59,59,0.10096670247046187
35181363368,2022-01-05T06:34:30Z,81,19,20,42,40,59,0.12731229597388466
35167138135,2022-01-04T06:40:30Z,86,19,22,45,37,60,0.08930323846908735
35154257498,2022-01-03T06:41:00Z,75,17,19,39,41,60,0.10143042912873862
35142774778,2022-01-02T08:11:30Z,78,19,20,39,58,59,0.07738693467336684
35128788647,2022-01-01T08:36:30Z,86,18,22,46,40,61,0.09081735620585267
35116801006,2021-12-31T06:52:30Z,85,20,22,43,43,61,0.07079646017699115
35104483681,2021-12-30T07:57:30Z,86,21,20,45,74,63,0.1109229466553768
35093490788,2021-12-29T08:42:30Z,65,17,20,28,12,62,0.10379746835443038
35091725622,2021-12-29T04:04:30Z,61,16,15,30,30,62,0.10829103214890017
35080205681,2021-12-28T07:48:30Z,82,17,21,44,57,61,0.1010860484544695
35044789032,2021-12-25T08:08:00Z,76,20,12,44,59,60,0.15715715715715717
35033157356,2021-12-24T07:07:30Z,80,19,21,40,17,60,0.09044585987261146
35021654983,2021-12-23T06:35:30Z,87,21,20,46,49,60,0.0791295746785361
35009372967,2021-12-22T06:20:30Z,85,19,21,45,57,61,0.09949238578680203
34996932918,2021-12-21T06:20:30Z,84,19,20,45,83,61,0.08169596690796277
34986284230,2021-12-20T06:29:30Z,83,17,20,46,44,61,0.08324974924774323
34963509313,2021-12-18T06:22:30Z,77,17,19,41,64,60,0.08773903262092239
34954219730,2021-12-17T06:42:00Z,86,19,21,46,43,59,0.08779443254817987
34940205144,2021-12-16T06:59:30Z,82,18,22,42,71,60,0.08859357696567
34924972150,2021-12-15T06:14:30Z,71,17,19,35,51,60,0.11295034079844206
34924972149,2021-12-14T06:32:00Z,84,21,20,43,41,60,0.10693301997649823
34900923995,2021-12-13T06:04:30Z,87,21,21,45,68,60,0.09165808444902163
34900923994,2021-12-12T06:36:30Z,78,18,20,40,32,60,0.10135135135135136
34880130036,2021-12-11T07:54:30Z,83,16,21,46,31,62,0.08145240431795878
34880130035,2021-12-10T06:44:00Z,72,16,17,39,36,62,0.06961178045515395
34854959688,2021-12-09T05:45:30Z,78,19,18,41,55,61,0.11551528878822197
34840491012,2021-12-08T06:13:00Z,84,19,22,43,36,62,0.0800942285041225
34826699229,2021-12-07T06:22:00Z,82,18,22,42,76,62,0.09337676438653637
34813267330,2021-12-06T06:02:30Z,84,19,22,43,23,62,0.0738569753810082
