DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-06-01T00:00:00,2021-06-01T11:50:50.35,86,22,30,26,30,38,40,READY,false
2021-06-02T00:00:00,2021-06-02T10:38:39.942,88,23,30,28,30,37,40,READY,false
2021-06-03T00:00:00,2021-06-03T11:32:56.874,86,25,30,26,30,35,40,READY,false
2021-06-04T00:00:00,2021-06-04T11:55:39.792,82,25,30,22,30,35,40,READY,false
2021-06-05T00:00:00,2021-06-05T11:33:22.456,84,26,30,22,30,36,40,READY,false
2021-06-06T00:00:00,2021-06-06T13:22:23.883,66,19,30,14,30,33,40,READY,false
2021-06-11T00:00:00,2021-06-11T11:47:41.771,0,0,0,0,0,0,0,NO_DATA,true
2021-06-13T00:00:00,2021-06-13T11:53:14.305,0,0,0,0,0,0,0,NO_DATA,true
2021-06-15T00:00:00,2021-06-15T11:17:00.924,76,20,30,21,30,35,40,READY,false
2021-06-16T00:00:00,2021-06-19T14:36:40.287,82,24,30,26,30,32,40,READY,false
2021-06-17T00:00:00,2021-06-19T14:36:40.924,87,25,30,26,30,36,40,READY,false
2021-06-18T00:00:00,2021-06-19T14:36:39.935,82,25,30,24,30,33,40,READY,false
2021-06-19T00:00:00,2021-06-19T14:36:41.193,81,19,30,26,30,36,40,READY,false
2021-06-20T00:00:00,2021-06-20T12:05:44.67,70,20,30,15,30,35,40,READY,false
2021-06-21T00:00:00,2021-06-21T11:27:27.98,87,28,30,23,30,36,40,READY,false
2021-06-22T00:00:00,2021-06-22T11:41:51.035,82,21,30,24,30,37,40,READY,false
2021-06-23T00:00:00,2021-06-23T11:42:57.591,84,26,30,23,30,35,40,READY,false
2021-06-24T00:00:00,2021-06-24T11:06:21.144,75,21,30,16,30,38,40,READY,false
2021-06-25T00:00:00,2021-06-25T12:47:22.533,81,24,30,20,30,37,40,READY,false
2021-06-26T00:00:00,2021-06-26T13:08:50.975,81,25,30,19,30,37,40,READY,false
2021-06-27T00:00:00,2021-06-27T12:53:24.576,67,19,30,15,30,33,40,READY,false
2021-06-28T00:00:00,2021-06-28T11:07:44.585,0,0,0,0,0,0,0,NO_DATA,true
2021-06-29T00:00:00,2021-06-29T11:31:19.935,88,28,30,27,30,33,40,READY,false
2021-06-30T00:00:00,2021-06-30T11:29:58.652,77,21,30,24,30,32,40,READY,false
2021-07-01T00:00:00,2021-07-01T12:02:14.237,83,26,30,24,30,33,40,READY,false
2021-07-02T00:00:00,2021-07-02T10:55:11.569,76,19,30,23,30,34,40,READY,false
2021-07-03T00:00:00,2021-07-03T12:06:39.31,79,20,30,25,30,34,40,READY,false
2021-07-05T00:00:00,2021-07-05T12:35:27.002,68,16,30,12,30,40,40,READY,false
2021-07-06T00:00:00,2021-07-06T11:34:33.875,86,24,30,23,30,39,40,READY,false
2021-07-07T00:00:00,2021-07-07T12:13:49.34,79,22,30,25,30,32,40,READY,false
2021-07-08T00:00:00,2021-07-08T11:28:27.821,85,28,30,22,30,35,40,READY,false
2021-07-09T00:00:00,2021-07-09T11:05:14.645,83,24,30,24,30,35,40,READY,false
2021-07-10T00:00:00,2021-07-10T11:28:35.286,84,25,30,23,30,36,40,READY,false
2021-07-11T00:00:00,2021-07-11T12:12:29.965,73,25,30,15,30,33,40,READY,false
2021-07-12T00:00:00,2021-07-12T11:19:18.982,79,24,30,21,30,34,40,READY,false
2021-07-13T00:00:00,2021-07-13T10:44:50.907,90,25,30,26,30,39,40,READY,false
2021-07-14T00:00:00,2021-07-14T12:16:23.798,79,21,30,19,30,39,40,READY,false
2021-07-15T00:00:00,2021-07-15T11:01:37.79,91,28,30,25,30,38,40,READY,false
2021-07-16T00:00:00,2021-07-16T11:56:09.111,90,26,30,26,30,38,40,READY,false
2021-07-17T00:00:00,2021-07-17T12:31:55.295,71,19,30,18,30,34,40,READY,false
2021-07-18T00:00:00,2021-07-18T12:05:25.431,73,19,30,15,30,39,40,READY,false
2021-07-19T00:00:00,2021-07-19T10:47:56.074,89,27,30,24,30,38,40,READY,false
2021-07-20T00:00:00,2021-07-20T10:56:16.025,86,23,30,27,30,36,40,READY,false
2021-07-21T00:00:00,2021-07-21T12:30:49.206,81,20,30,26,30,35,40,READY,false
2021-07-22T00:00:00,2021-07-22T10:36:10.964,88,28,30,24,30,36,40,READY,false
2021-07-23T00:00:00,2021-07-23T10:59:50.298,85,28,30,21,30,36,40,READY,false
2021-07-24T00:00:00,2021-07-24T11:13:53.576,70,18,30,16,30,36,40,READY,false
2021-07-25T00:00:00,2021-07-25T11:18:12.093,76,20,30,20,30,36,40,READY,false
2021-07-26T00:00:00,2021-07-26T10:32:52.79,77,23,30,21,30,33,40,READY,false
2021-07-27T00:00:00,2021-07-27T11:10:23.14,76,22,30,19,30,35,40,READY,false
2021-07-28T00:00:00,2021-07-28T11:50:32.011,0,0,0,0,0,0,0,NO_DATA,true
2021-07-29T00:00:00,2021-07-29T11:25:25.905,74,19,30,20,30,35,40,READY,false
2021-07-30T00:00:00,2021-07-30T11:18:19.506,77,18,30,25,30,34,40,READY,false
2021-07-31T00:00:00,2021-07-31T10:11:18.578,73,17,30,23,30,33,40,READY,false
2021-08-01T00:00:00,2021-08-01T11:25:59.955,74,23,30,22,30,29,40,READY,false
2021-08-02T00:00:00,2021-08-02T11:31:56.313,87,28,30,24,30,35,40,READY,false
2021-08-03T00:00:00,2021-08-03T11:15:48.666,72,21,30,21,30,30,40,READY,false
2021-08-04T00:00:00,2021-08-04T11:29:48.373,83,28,30,23,30,32,40,READY,false
2021-08-05T00:00:00,2021-08-05T11:20:01.989,87,28,30,25,30,34,40,READY,false
2021-08-06T00:00:00,2021-08-06T10:04:20.8,80,26,30,19,30,35,40,READY,false
2021-08-07T00:00:00,2021-08-07T11:55:53.872,77,24,30,14,30,39,40,READY,false
2021-08-08T00:00:00,2021-08-08T12:38:36.72,74,20,30,15,30,39,40,READY,false
2021-08-09T00:00:00,2021-08-09T17:33:17.149,80,20,30,21,30,39,40,READY,false
2021-08-10T00:00:00,2021-08-10T11:44:23.783,91,28,30,27,30,36,40,READY,false
2021-08-11T00:00:00,2021-08-11T11:43:51.028,88,29,30,26,30,33,40,READY,false
2021-08-12T00:00:00,2021-08-12T11:21:47.934,87,28,30,23,30,36,40,READY,false
2021-08-13T00:00:00,2021-08-13T12:13:07.924,86,26,30,25,30,35,40,READY,false
2021-08-14T00:00:00,2021-08-14T10:40:41.934,76,21,30,22,30,33,40,READY,false
2021-08-15T00:00:00,2021-08-15T13:24:35.909,75,23,30,22,30,30,40,READY,false
2021-08-16T00:00:00,2021-08-16T17:32:46.481,80,21,30,27,30,32,40,READY,false
2021-08-17T00:00:00,2021-08-17T10:27:00.4,82,28,30,25,30,29,40,READY,false
2021-08-18T00:00:00,2021-08-18T11:31:47.982,88,27,30,25,30,36,40,READY,false
2021-08-19T00:00:00,2021-08-19T11:26:06.203,83,29,30,16,30,38,40,READY,false
2021-08-20T00:00:00,2021-08-20T13:02:00.85,89,26,30,26,30,37,40,READY,false
2021-08-27T00:00:00,2021-08-27T11:29:06.966,0,0,0,0,0,0,0,NO_DATA,true
